name,series,code,mer,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Scotia Wealth U.S. Mid Cap Value Pool,M,,,,14.2,17.4,6.9,11.1,-5.3,27.3,5.4,28.2,-12.2,3.5
Scotia Wealth Canadian Mid Cap Pool,F,PIN1430,1.28,,9.8,-4.6,17.6,0.0,-10.1,22.8,3.0,13.0,-7.3,4.5
Scotia Wealth High Yield Income Pool,K,PIN6215,0.17,,,,,0.6,-3.0,7.6,-6.5,33.4,8.0,14.2
Scotia U.S. $ Money Market Fund,A,BNS375,1.19,,0.1,0.1,0.1,0.1,1.0,1.2,0.2,0.1,0.8,4.0
Pinnacle Balanced Portfolio,A,PIN940,2.49,,7.8,3.5,5.1,4.9,-5.1,12.3,3.9,7.8,-14.0,8.7
Scotia U.S. $ Money Market Fund,M,,0.1,,,,,3.1,2.1,2.4,0.7,0.1,1.5,5.1
Scotia International Equity Blend Class,A,BNS1368,2.55,,0.9,16.4,-4.4,17.2,-9.9,13.6,4.8,4.9,-15.3,12.1
Scotia Nasdaq Index Fund,F,BNS597,0.69,,28.1,28.9,3.0,22.4,6.9,31.6,44.5,25.4,-28.2,50.5
Scotia INNOVA Growth Portfolio Class,FT,BNS51433,1.17,,,,,,,,,,,11.9
Scotia Wealth Global Infrastructure Pool,Pinnacle,PIN660,0.31,,,,,,,21.1,-3.1,13.2,3.7,1.4
Scotia Essentials Balanced Portfolio,A,BNS2204,1.72,,,3.9,5.7,6.4,-4.1,11.6,7.1,7.2,-11.8,9.2
Scotia Wealth Canadian Growth Pool,F,PIN1410,1.26,,11.1,-2.2,14.1,7.2,-8.6,22.0,6.3,23.4,-6.9,14.3
Scotia Selected Maximum Growth Portfolio,A,BNS344,2.26,22.9,9.8,7.2,4.0,12.8,-6.6,18.2,16.9,13.6,-13.3,
Scotia Global Dividend Class,F,BNS51312,1.22,,,,,,,,,,,10.3
Scotia Partners Balanced Income Portfolio,T,BNS446,2.19,,,,,4.3,-1.4,9.0,7.0,3.7,-12.2,7.6
Scotia Selected Growth Portfolio,T,BNS442,2.13,,,,,,,16.9,13.0,10.9,-12.0,11.6
Scotia Canadian Small Cap Fund,A,BNS384,2.38,,1.9,-1.4,7.3,2.3,-19.7,33.4,36.9,39.8,-19.9,-2.6
1832 AM U.S. $ Investment Grade U.S. Corporate Bond Pool,K,PIN6670,0.12,,,,,,,,,-0.1,-9.1,9.2
Scotia Wealth Premium Payout Pool,K,PIN6240,0.62,,,,,9.7,-1.9,11.6,2.4,15.4,2.3,23.3
Scotia Canadian Small Cap Fund,M,,,,1.9,-1.4,7.3,2.3,-19.7,33.4,36.9,39.8,-19.9,-2.6
Scotia Wealth U.S. Large Cap Growth Pool,M,,0.47,,,,,,17.4,31.2,31.0,22.9,-33.2,35.2
Scotia Partners Income Portfolio,FT,BNS5413,0.97,,,,,,,,,,,8.1
Scotia Wealth International Small to Mid Cap Value Pool,F,PIN1525,1.38,,8.5,28.4,-3.4,27.8,-14.0,21.7,12.5,11.0,-17.7,12.3
Scotia International Equity Fund,A,BNS393,2.26,,-4.3,16.2,-6.6,18.7,-6.5,19.3,19.1,7.4,-18.1,16.4
Scotia Partners Balanced Income Portfolio Class,F,BNS51346,1.12,,,,,,,,,,,8.7
Scotia Wealth Canadian Small Cap Pool,M,,0.88,,,,,11.8,-17.9,11.6,10.4,23.3,-16.7,22.7
Scotia Dividend Balanced Fund,A,BNS310,2.0,,8.6,-5.3,14.4,0.7,-6.6,14.1,2.2,18.8,-3.6,6.7
Scotia Wealth Real Estate Income Pool,K,PIN6260,0.34,,,,,5.5,3.8,20.7,-5.4,36.9,-19.2,6.2
Scotia Selected Income Portfolio,T,BNS438,1.79,,,,,,,8.1,6.2,1.6,-10.2,7.3
Scotia Partners Balanced Growth Portfolio,T,BNS447,2.27,,,,,7.3,-2.5,12.9,8.0,8.4,-12.9,9.3
Scotia INNOVA Balanced Income Portfolio Class,FT,BNS51431,1.0,,,,,,,,,,,9.1
Scotia Money Market Fund,M,,0.08,,1.3,1.0,1.0,1.1,1.8,2.0,1.0,0.3,2.0,5.0
Scotia Wealth Global Equity Pool,Pinnacle,PIN530,0.36,,15.9,24.7,3.7,22.7,-1.2,23.2,31.0,19.5,-24.3,21.7
