name,series,code,mer,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Scotia Low Carbon Global Balanced Fund,A,BNS267,2.1,,,,,,,,,7.5,-16.0,14.5
Scotia Selected Balanced Income Portfolio,T,BNS440,1.91,,,,,,,9.5,6.4,3.7,-10.0,7.9
Scotia Wealth Canadian Mid Cap Pool,Pinnacle,PIN430,0.32,,10.8,-3.7,18.7,0.9,-9.3,23.9,4.0,14.1,-6.4,5.5
Scotia Income Advantage Fund,F,BNS509,1.12,,,,,,,,,,,4.4
Scotia INNOVA Maximum Growth Portfolio Class,FT,BNS51434,1.39,,,,,,,,,,,13.3
Scotia Essentials Income Portfolio,F,BNS52201,0.74,,,,,,,,,,,8.9
Scotia Wealth Canadian Small Cap Pool,Pinnacle,PIN420,0.41,,9.6,8.9,12.4,11.8,-17.5,12.1,10.9,23.8,-16.3,23.3
Scotia Partners Maximum Growth Portfolio,T,BNS449,2.58,,,,,10.9,-4.8,17.0,8.8,13.5,-14.2,11.0
Scotia Global Balanced Fund,F,BNS511,1.18,,,,,,,,,,,8.8
Scotia Global Equity Fund,A,BNS388,2.34,,6.9,18.9,-1.3,13.5,-2.3,17.8,22.0,10.0,-12.6,14.9
Scotia Canadian Growth Fund,A,BNS372,2.11,,11.4,5.1,0.6,2.5,-15.8,21.5,16.1,28.8,-15.2,23.0
Scotia Selected Balanced Growth Portfolio,T,BNS441,2.02,,,,,,,12.9,9.6,7.6,-10.8,9.4
Scotia Canadian Dividend Fund,K,PIN6600,0.24,,,,,12.9,-2.5,22.5,1.2,25.5,-1.6,8.2
Scotia Global Dividend Fund,A,BNS312,1.83,,15.3,13.7,1.4,11.0,-4.8,19.8,-1.1,15.0,-3.8,9.7
Scotia Resource Fund,F,BNS562,1.41,,3.4,-13.7,47.4,11.9,-11.1,19.8,8.0,20.3,14.7,1.7
Scotia Wealth Canadian Corporate Bond Pool,K,PIN6300,0.12,,,,,2.0,1.4,6.2,7.7,-1.5,-6.3,7.2
Scotia Partners Balanced Growth Portfolio Class,T,BNS1447,2.37,,,,,7.2,-2.6,12.8,7.8,8.1,-13.0,9.2
Scotia Wealth Income Pool,F,PIN1200,0.85,,5.6,1.3,1.0,0.9,1.2,5.4,8.8,-3.5,-11.4,8.3
Scotia Wealth North American Dividend Pool,M,,0.19,,12.9,7.6,5.9,14.4,-0.3,25.8,6.7,25.5,-5.8,14.1
Scotia INNOVA Maximum Growth Portfolio Class,F,BNS51334,1.38,,,,,,,,,,,13.2
Scotia Partners Income Portfolio,F,BNS5313,0.96,,,,,,,,,,,8.1
Scotia U.S. Opportunities Fund,A,BNS391,2.33,,12.2,9.6,6.4,1.0,-3.2,23.2,10.7,29.1,-12.2,12.3
Scotia Mortgage Income Fund,K,PIN6220,0.26,,,,,2.4,3.4,3.3,2.8,1.7,0.8,4.3
Scotia Wealth Global Equity Pool,F,PIN1530,1.19,,14.9,23.6,2.9,21.7,-2.0,22.2,29.9,18.5,-25.0,20.7
Scotia Wealth Canadian Growth Pool,Pinnacle,PIN410,0.21,,12.3,-1.2,15.2,8.3,-7.6,23.3,7.5,24.7,-5.9,15.5
Scotia Selected Balanced Growth Portfolio,FT,BNS5441,0.93,,,,,,,,,,,10.7
Scotia Selected Income Portfolio,A,BNS338,1.79,,8.4,2.9,2.5,3.3,-0.7,8.1,6.2,1.6,-10.3,7.3
Scotia Partners Balanced Growth Portfolio,A,BNS347,2.29,,8.7,3.5,5.2,7.3,-2.5,12.9,8.0,8.4,-12.9,9.3
Scotia Wealth International Core Equity Pool,M,,0.35,,2.2,16.4,-1.6,18.9,-3.7,22.6,19.5,7.6,-17.1,19.8
Scotia Canadian Bond Fund,A,BNS314,1.29,-2.1,7.7,2.3,0.5,1.6,1.1,4.7,7.5,-4.0,-12.3,
Scotia Wealth Canadian Value Pool,F,PIN1400,1.27,,3.1,-8.7,26.2,9.7,-11.8,20.4,3.5,30.7,-0.1,8.1
Scotia INNOVA Balanced Growth Portfolio,FT,BNS5432,1.01,,,,,,,,,,,10.3
Scotia Canadian Equity Fund,F,BNS550,1.08,,10.7,5.0,15.7,13.1,-6.0,18.7,7.8,26.6,-5.1,13.1
Scotia Global Growth Fund,F,BNS574,1.07,,13.5,20.2,1.2,24.9,-2.6,25.5,32.3,6.1,-24.0,16.3
Scotia Diversiﬁed Balanced Fund,A,BNS371,2.01,,7.2,4.3,6.3,8.9,-4.1,14.4,11.1,13.9,-9.8,11.1
Scotia Partners Growth Portfolio Class,A,BNS1348,2.43,,,,,9.5,-3.9,14.9,8.5,10.3,-14.0,
Scotia INNOVA Maximum Growth Portfolio,T,BNS434,2.36,,,,,8.2,-5.2,15.0,5.3,15.3,-11.4,11.3
Scotia INNOVA Income Portfolio,F,BNS5330,0.79,,,,,,,,,,,7.8
Scotia Canadian Bond Fund,M,,0.11,,,,,2.9,2.4,6.1,8.8,-2.7,-11.2,8.8
Scotia Wealth Short-Mid Government Bond Pool,M,,0.1,,4.9,2.8,0.7,0.6,2.4,3.0,7.3,-2.1,-6.4,5.1
Scotia Canadian Equity Index Fund,F,BNS581,0.56,,9.8,-8.9,20.4,8.5,-9.3,22.3,5.1,24.7,-6.1,11.0
Scotia U.S. $ Balanced Fund,F,BNS508,1.07,,,,,,,,,,,18.4
Scotia Wealth High Yield Income Pool,Pinnacle,PIN215,0.18,,6.0,0.5,11.1,0.6,-3.0,7.6,-6.6,33.4,8.0,14.1
Scotia Wealth Credit Absolute Return Pool,M,,2.68,,,,,,,,,,,5.6
Scotia Aria Progressive Build Portfolio,Premium,BNS2207,2.0,,,7.1,5.4,8.4,-5.8,14.2,7.8,11.9,-12.9,
Scotia Low Carbon Canadian Fixed Income Fund,F,BNS568,0.71,,,,,,,,,-3.0,-11.8,7.0
Scotia Selected Balanced Income Portfolio,F,BNS540,0.79,,8.5,3.8,3.1,4.5,-1.4,9.5,6.4,3.7,-10.0,7.9
Scotia Canadian Income Fund,K,PIN6200,0.15,,,,,3.0,3.6,5.6,8.4,-2.8,-9.9,7.7
Scotia Wealth U.S. Mid Cap Value Pool,F,PIN1515,1.13,,13.5,16.8,6.4,10.6,-5.7,26.8,4.9,27.7,-12.6,3.0
Scotia Conservative Fixed Income Portfolio,F,BNS566,0.91,,,,,,,,,,,4.6
Scotia INNOVA Balanced Income Portfolio,A,BNS331,2.02,,7.6,2.9,3.5,3.9,-1.7,8.0,4.5,4.3,-9.5,7.6
Scotia Wealth Global Infrastructure Pool,F,PIN1660,1.21,,,,,,,20.0,-3.9,12.1,2.8,0.5
Scotia Wealth U.S. Mid Cap Value Pool,Pinnacle,PIN515,0.67,,14.2,17.4,6.9,11.1,-5.3,27.3,5.4,28.2,-12.2,3.5
Scotia Partners Growth Portfolio,T,BNS448,2.35,,,,,9.7,-3.7,14.9,8.4,10.8,-13.7,10.3
Scotia U.S. $ Money Market Fund,F,BNS575,1.06,,,,,,,,,,,4.1
Pinnacle Balanced Portfolio,F,PIN1940,1.0,,,,,,,13.9,5.4,9.4,-12.8,10.3
Scotia INNOVA Income Portfolio,FT,BNS5430,0.77,,,,,,,,,,,7.8
Scotia Wealth Income Pool,Pinnacle,PIN200,0.09,,6.4,2.0,1.8,1.6,2.0,6.2,9.6,-2.8,-10.7,9.2
Scotia Wealth Short Term Bond Pool,M,,0.11,,2.6,2.3,1.2,0.3,2.1,2.5,5.7,-1.1,-3.9,5.4
Scotia International Equity Blend Class,F,BNS51368,1.59,,,,,,,,,,,13.2
Scotia Essentials Balanced Portfolio,F,BNS52204,1.0,,,,,,,,,,,10.0
Scotia Nasdaq Index Fund,A,BNS397,1.13,,27.7,28.5,2.5,21.9,6.4,31.0,43.9,24.6,-28.5,49.9
Scotia Low Carbon Global Equity Fund,K,PIN6269,0.3,,,,,,,,,20.5,-16.9,25.6
Scotia Global Dividend Class,A,BNS1312,2.1,,15.0,13.4,1.2,10.7,-5.1,19.4,-1.4,14.8,-4.0,9.4
Scotia Selected Maximum Growth Portfolio,F,BNS544,1.17,,9.8,7.2,4.0,12.8,-6.6,18.2,16.9,13.6,-13.3,12.6
Scotia Canadian Small Cap Fund,F,BNS584,1.43,,1.9,-1.4,7.3,2.3,-19.7,33.4,36.9,39.8,-19.9,-2.6
Scotia Partners Maximum Growth Portfolio Class,T,BNS1449,2.53,,,,,10.7,-4.9,16.9,8.7,13.3,-14.2,10.9
Scotia Wealth U.S. Large Cap Growth Pool,F,PIN1505,1.2,,26.5,36.1,-2.5,17.1,16.6,30.3,30.1,21.9,-33.7,34.2
Scotia INNOVA Growth Portfolio,T,BNS433,2.28,,,,,7.3,-4.3,12.9,4.9,12.5,-11.0,10.2
Scotia INNOVA Balanced Growth Portfolio Class,T,BNS1432,2.22,,,5.3,4.2,6.0,-3.3,11.5,4.4,10.2,-10.9,9.5
